Top,Time,ProcessId,Name,Cpu(%),Memory(KB),HandleCount
4,2014-4-1 9:16:40,1116,vntldr,0,956,38
5,2014-4-1 9:16:40,2220,alicnotify,0,4812,195
1,2014-4-1 9:16:42,5884,chrome,4.6875,89400,972
2,2014-4-1 9:16:42,796,services,1.5625,5388,439
3,2014-4-1 9:16:42,6364,chrome,1.171875,123528,132
4,2014-4-1 9:16:42,1168,AlipaySecSvc,0.390625,9584,350
5,2014-4-1 9:16:42,2100,chrome,0,80592,108
1,2014-4-1 9:16:44,5884,chrome,3.125,91948,968
2,2014-4-1 9:16:44,796,services,1.5625,5388,439
3,2014-4-1 9:16:44,6364,chrome,0.390625,128744,130
4,2014-4-1 9:16:44,8184,CpuTop5,0.390625,12396,93
5,2014-4-1 9:16:44,4,System,0.390625,52,1238
1,2014-4-1 9:16:46,5884,chrome,2.34375,89412,962
2,2014-4-1 9:16:46,796,services,1.5625,5388,439
3,2014-4-1 9:16:46,6364,chrome,0.390625,127616,130
4,2014-4-1 9:16:46,2100,chrome,0,80592,108
5,2014-4-1 9:16:46,2220,alicnotify,0,4792,195
1,2014-4-1 9:16:48,5884,chrome,2.34375,89416,978
2,2014-4-1 9:16:48,796,services,1.5625,5388,439
3,2014-4-1 9:16:48,8184,CpuTop5,0.390625,12652,93
4,2014-4-1 9:16:48,4,System,0.390625,52,1243
5,2014-4-1 9:16:48,2100,chrome,0,80592,108
1,2014-4-1 9:16:50,5884,chrome,3.125,90140,1034
2,2014-4-1 9:16:50,796,services,1.5625,5388,439
3,2014-4-1 9:16:50,2100,chrome,0,80592,108
4,2014-4-1 9:16:50,1116,vntldr,0,956,38
5,2014-4-1 9:16:50,2220,alicnotify,0,4792,195
1,2014-4-1 9:16:52,5884,chrome,2.34375,90960,1043
2,2014-4-1 9:16:52,796,services,1.953125,5388,439
3,2014-4-1 9:16:52,2364,jqs,1.171875,7940,206
4,2014-4-1 9:16:52,1168,AlipaySecSvc,0.390625,9584,350
5,2014-4-1 9:16:52,8184,CpuTop5,0.390625,12908,93
1,2014-4-1 9:16:54,5884,chrome,2.34375,90800,1043
2,2014-4-1 9:16:54,1168,AlipaySecSvc,0.78125,9584,350
3,2014-4-1 9:16:54,2760,wandoujia2,0.390625,119380,418
4,2014-4-1 9:16:54,2100,chrome,0,80592,108
5,2014-4-1 9:16:54,2220,alicnotify,0,4792,195
1,2014-4-1 9:16:56,5884,chrome,4.6875,90800,1026
2,2014-4-1 9:16:56,2760,wandoujia2,0.78125,119380,418
3,2014-4-1 9:16:56,6364,chrome,0.390625,127876,130
4,2014-4-1 9:16:56,1168,AlipaySecSvc,0.390625,9516,350
5,2014-4-1 9:16:56,4,System,0.390625,52,1260
1,2014-4-1 9:16:58,6364,chrome,10.9375,127876,130
2,2014-4-1 9:16:58,5884,chrome,9.375,90804,1028
3,2014-4-1 9:16:58,1384,avguard,0.78125,176764,207
4,2014-4-1 9:16:58,724,csrss,0.390625,2328,912
5,2014-4-1 9:16:58,4,System,0.390625,52,1258
1,2014-4-1 9:17:00,6364,chrome,7.421875,130592,133
2,2014-4-1 9:17:00,5884,chrome,5.46875,90936,1019
3,2014-4-1 9:17:00,724,csrss,0.78125,2328,914
4,2014-4-1 9:17:00,1500,spoolsv,0.390625,3744,133
5,2014-4-1 9:17:00,4472,chrome,0.390625,77024,121
1,2014-4-1 9:17:02,5884,chrome,3.125,93472,1022
2,2014-4-1 9:17:02,6364,chrome,2.34375,132328,130
3,2014-4-1 9:17:02,2100,chrome,1.171875,80592,108
4,2014-4-1 9:17:02,796,services,0.78125,5388,439
5,2014-4-1 9:17:02,2760,wandoujia2,0.390625,119380,418
1,2014-4-1 9:17:04,5884,chrome,3.515625,93508,1034
2,2014-4-1 9:17:04,6364,chrome,2.734375,136388,133
3,2014-4-1 9:17:04,1212,wandoujia_helper,0.78125,168236,374
4,2014-4-1 9:17:04,796,services,0.390625,5388,439
5,2014-4-1 9:17:04,8184,CpuTop5,0.390625,13676,93
1,2014-4-1 9:17:06,3156,WinService,1.171875,5052,79
2,2014-4-1 9:17:06,796,services,1.171875,5388,439
3,2014-4-1 9:17:06,1384,avguard,0.78125,176764,207
4,2014-4-1 9:17:06,1116,vntldr,0,956,38
5,2014-4-1 9:17:06,2100,chrome,0,83024,119
1,2014-4-1 9:17:08,5884,chrome,3.90625,93588,1029
2,2014-4-1 9:17:08,6364,chrome,1.5625,136716,133
3,2014-4-1 9:17:08,1384,avguard,0.78125,176580,207
4,2014-4-1 9:17:08,1932,explorer,0.390625,33616,619
5,2014-4-1 9:17:08,4,System,0.390625,52,1254
1,2014-4-1 9:17:10,6364,chrome,13.28125,131248,133
2,2014-4-1 9:17:10,5884,chrome,8.203125,91168,1026
3,2014-4-1 9:17:10,1384,avguard,0.78125,176580,207
4,2014-4-1 9:17:10,4,System,0.78125,52,1250
5,2014-4-1 9:17:10,1212,wandoujia_helper,0.390625,168288,374
1,2014-4-1 9:17:12,5884,chrome,5.078125,91232,1031
2,2014-4-1 9:17:12,6364,chrome,2.734375,136124,134
3,2014-4-1 9:17:12,3292,SangforPromoteService,0.390625,5948,132
4,2014-4-1 9:17:12,1704,svchost,0,6028,174
5,2014-4-1 9:17:12,1116,vntldr,0,956,38
1,2014-4-1 9:17:14,5884,chrome,5.46875,91236,1031
2,2014-4-1 9:17:14,6364,chrome,1.5625,138544,134
3,2014-4-1 9:17:14,2100,chrome,1.171875,83028,119
